,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,season_name,time_bin,time_bin_encoded,season_name_encoded,rush_hour,ideal,sticky
34,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,spring,Evening,1,1,0,0,0
35,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,spring,Evening,1,1,0,0,0
36,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,spring,Evening,1,1,0,0,0
37,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,spring,Evening,1,1,0,0,0
38,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,spring,Night,3,1,0,0,0
39,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,spring,Night,3,1,0,0,0
40,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,spring,Night,3,1,0,0,0
41,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,spring,Night,3,1,0,0,0
42,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,spring,Morning,2,1,0,0,0
43,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,spring,Morning,2,1,1,0,0
44,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,spring,Morning,2,1,1,0,0
45,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,spring,Morning,2,1,1,0,0
46,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44,spring,Morning,2,1,0,0,0
47,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51,spring,Morning,2,1,0,0,0
48,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61,spring,Afternoon,0,1,0,0,0
49,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61,spring,Afternoon,0,1,0,0,0
50,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77,spring,Afternoon,0,1,0,0,0
51,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72,spring,Afternoon,0,1,0,0,0
52,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76,spring,Afternoon,0,1,0,0,0
53,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157,spring,Afternoon,0,1,1,0,0
54,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157,spring,Evening,1,1,1,0,0
55,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52,spring,Evening,1,1,0,0,0
56,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52,spring,Evening,1,1,0,0,0
57,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,spring,Evening,1,1,0,0,0
58,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12,spring,Evening,1,1,0,0,0
59,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,spring,Night,3,1,0,0,0
60,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,spring,Night,3,1,0,0,0
61,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,spring,Night,3,1,0,0,0
62,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,spring,Night,3,1,0,0,0
63,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,spring,Night,3,1,0,0,0
64,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,spring,Morning,2,1,0,0,0
65,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94,spring,Morning,2,1,1,0,0
66,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179,spring,Morning,2,1,1,0,0
67,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100,spring,Morning,2,1,1,0,0
68,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,spring,Morning,2,1,0,0,0
69,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,spring,Morning,2,1,0,0,0
70,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,spring,Afternoon,0,1,0,0,0
71,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,spring,Afternoon,0,1,0,0,0
72,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,spring,Afternoon,0,1,0,0,0
73,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,spring,Afternoon,0,1,0,0,0
74,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,spring,Afternoon,0,1,0,0,0
75,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,spring,Afternoon,0,1,1,0,0
76,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,spring,Evening,1,1,1,0,0
77,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,spring,Evening,1,1,1,0,0
78,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,spring,Evening,1,1,0,0,0
79,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,spring,Evening,1,1,0,0,0
80,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,spring,Evening,1,1,0,0,0
81,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,spring,Night,3,1,0,0,0
82,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,spring,Night,3,1,0,0,0
83,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,spring,Night,3,1,0,0,0
84,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,spring,Night,3,1,0,0,0
85,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,spring,Morning,2,1,0,0,0
86,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,spring,Morning,2,1,1,0,0
87,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,spring,Morning,2,1,1,0,0
88,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,spring,Morning,2,1,1,0,0
89,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,spring,Morning,2,1,0,0,0
90,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,spring,Morning,2,1,0,0,0
91,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,spring,Afternoon,0,1,0,0,0
92,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,spring,Afternoon,0,1,0,0,0
93,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,spring,Afternoon,0,1,0,0,0
94,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,spring,Afternoon,0,1,0,0,0
95,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,spring,Afternoon,0,1,0,0,0
96,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,spring,Afternoon,0,1,1,0,0
97,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,spring,Evening,1,1,1,0,0
98,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,spring,Evening,1,1,1,0,0
99,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,spring,Evening,1,1,0,0,0
100,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,spring,Evening,1,1,0,0,0
101,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,spring,Evening,1,1,0,0,0
102,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,spring,Night,3,1,0,0,0
103,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,spring,Night,3,1,0,0,0
104,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,spring,Morning,2,1,0,0,0
105,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59,spring,Morning,2,1,0,0,0
106,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67,spring,Afternoon,0,1,0,0,0
107,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70,spring,Afternoon,0,1,0,0,0
108,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86,spring,Afternoon,0,1,0,0,0
109,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172,spring,Afternoon,0,1,1,0,0
110,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163,spring,Evening,1,1,1,0,0
111,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112,spring,Evening,1,1,1,0,0
112,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69,spring,Evening,1,1,0,0,0
113,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,spring,Evening,1,1,0,0,0
114,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52,spring,Evening,1,1,0,0,0
115,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23,spring,Evening,1,1,0,0,0
116,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17,spring,Night,3,1,0,0,0
117,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7,spring,Night,3,1,0,0,0
118,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,spring,Night,3,1,0,0,0
119,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,spring,Night,3,1,0,0,0
120,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84,spring,Morning,2,1,1,0,0
121,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210,spring,Morning,2,1,1,0,0
122,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134,spring,Morning,2,1,1,0,0
123,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63,spring,Morning,2,1,0,0,0
124,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67,spring,Morning,2,1,0,0,0
125,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59,spring,Afternoon,0,1,0,0,0
126,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73,spring,Afternoon,0,1,0,0,0
127,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50,spring,Afternoon,0,1,0,0,0
128,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72,spring,Afternoon,0,1,0,0,0
129,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87,spring,Afternoon,0,1,0,0,0
130,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123,spring,Evening,1,1,1,0,0
131,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95,spring,Evening,1,1,1,0,0
132,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51,spring,Evening,1,1,0,0,0
133,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,spring,Evening,1,1,0,0,0
134,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36,spring,Evening,1,1,0,0,0
135,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15,spring,Evening,1,1,0,0,0
136,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25,spring,Night,3,1,0,0,0
137,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16,spring,Night,3,1,0,0,0
138,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7,spring,Night,3,1,0,0,0
139,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1,spring,Night,3,1,0,0,0
140,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5,spring,Night,3,1,0,0,0
141,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2,spring,Morning,2,1,0,0,0
142,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9,spring,Morning,2,1,1,0,0
143,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,spring,Morning,2,1,1,0,0
144,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,spring,Morning,2,1,1,0,0
145,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61,spring,Morning,2,1,0,0,0
146,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62,spring,Morning,2,1,0,0,0
147,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98,spring,Afternoon,0,1,0,0,0
148,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102,spring,Afternoon,0,1,0,0,0
149,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,spring,Afternoon,0,1,0,0,0
150,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,spring,Afternoon,0,1,0,0,0
151,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,spring,Afternoon,0,1,0,0,0
152,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,spring,Afternoon,0,1,1,0,0
153,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55,spring,Evening,1,1,1,0,0
154,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30,spring,Evening,1,1,1,0,0
155,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,spring,Evening,1,1,0,0,0
156,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37,spring,Evening,1,1,0,0,0
157,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34,spring,Evening,1,1,0,0,0
158,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,spring,Evening,1,1,0,0,0
159,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25,spring,Night,3,1,0,0,0
160,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,spring,Night,3,1,0,0,0
161,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,spring,Night,3,1,0,0,0
162,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,spring,Night,3,1,0,0,0
163,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1,spring,Night,3,1,0,0,0
164,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1,spring,Night,3,1,0,0,0
165,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,spring,Morning,2,1,0,0,0
166,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6,spring,Morning,2,1,1,0,0
167,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,spring,Morning,2,1,1,0,0
168,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,spring,Morning,2,1,1,0,0
169,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,spring,Morning,2,1,0,0,0
170,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,spring,Morning,2,1,0,0,0
171,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83,spring,Afternoon,0,1,0,0,0
172,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75,spring,Afternoon,0,1,0,0,0
173,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72,spring,Afternoon,0,1,0,0,0
174,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82,spring,Afternoon,0,1,0,0,0
175,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92,spring,Afternoon,0,1,0,0,0
176,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62,spring,Afternoon,0,1,1,0,0
177,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48,spring,Evening,1,1,1,0,0
178,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41,spring,Evening,1,1,1,0,0
179,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,spring,Evening,1,1,0,0,0
180,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20,spring,Evening,1,1,0,0,0
181,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15,spring,Evening,1,1,0,0,0
182,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6,spring,Evening,1,1,0,0,0
183,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5,spring,Night,3,1,0,0,0
184,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,spring,Night,3,1,0,0,0
185,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,spring,Night,3,1,0,0,0
186,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,spring,Night,3,1,0,0,0
187,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3,spring,Night,3,1,0,0,0
188,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,spring,Night,3,1,0,0,0
189,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,spring,Morning,2,1,0,0,0
190,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77,spring,Morning,2,1,1,0,0
191,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188,spring,Morning,2,1,1,0,0
192,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94,spring,Morning,2,1,1,0,0
193,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31,spring,Morning,2,1,0,0,0
194,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30,spring,Morning,2,1,0,0,0
195,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52,spring,Afternoon,0,1,0,0,0
196,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54,spring,Afternoon,0,1,0,0,0
197,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47,spring,Afternoon,0,1,0,0,0
198,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45,spring,Afternoon,0,1,0,0,0
199,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74,spring,Afternoon,0,1,0,0,0
200,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178,spring,Afternoon,0,1,1,0,0
201,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155,spring,Evening,1,1,1,0,0
202,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95,spring,Evening,1,1,1,0,0
203,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74,spring,Evening,1,1,0,0,0
204,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38,spring,Evening,1,1,0,0,0
205,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24,spring,Evening,1,1,0,0,0
206,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18,spring,Evening,1,1,0,0,0
207,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12,spring,Night,3,1,0,0,0
208,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3,spring,Night,3,1,0,0,0
209,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3,spring,Night,3,1,0,0,0
210,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6,spring,Night,3,1,0,0,0
211,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27,spring,Morning,2,1,0,0,0
212,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217,spring,Morning,2,1,1,0,0
213,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130,spring,Morning,2,1,1,0,0
214,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54,spring,Morning,2,1,0,0,0
215,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35,spring,Morning,2,1,0,0,0
216,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57,spring,Afternoon,0,1,0,0,0
217,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52,spring,Afternoon,0,1,0,0,0
218,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63,spring,Afternoon,0,1,0,0,0
219,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47,spring,Afternoon,0,1,0,0,0
220,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76,spring,Afternoon,0,1,0,0,0
221,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136,spring,Afternoon,0,1,1,0,0
